ID;Região;Nome do Local;Endereço completo;Bairro;CEP;Coordenadas;Latitude; Longitude ;Categoria;Horário de Funcionamento
PI-02;Piedade;Pesqueiro do Marcelo;Estrada dos lavradores Gurgel, Piedade - SP, 18170-000;;18170-000;;-23.754430995415788;-47.33790405;Pesqueiro;Seg: Fechado/Terça à Domingo das 8h às 18h
PI-03;Piedade;Creche da Roseira;Rodovia José de Carvalho, km 108, Bairro da Roseira - SP;Bairro da Roseira;18170-000;;-23.757267526247816;-47.47317533;Jardim de Infância;Segunda à Sexta das 7h às 16h
PI-04;Piedade;Escola Clementino Vieira;Piedade - SP, 18170-000;Jurupara;18170-000;;-23.64499164287645;-47.44153106;Escola Estadual;Seg. a Sexta das 7h às 16h - Das 19h às 23h
PI-05;Piedade;Agropecuária São José;R. Saladino de Araújo Leite, 620 - Vila Olinda, Piedade - SP, 18170-000;Vila Olinda;18170-000;;-23.711267177156284;-47.40793509;Agropecuária;Seg. a Sábado das 8h às 18h
SP-01;Salto de Pirapora;AgroVet Rural;R. Honório de Almeida Barros, 585 - Terras de São João, Salto de Pirapora - SP, 18160-000;Terras de São João;18160-000;;-23.66099302504736;-47.58077779;Agropecuária;Seg. a Sábado das 8h às 18h
SP-02;Salto de Pirapora;Atacadão Urla Urla Salto de pirapora;Av. Carlos Chagas, 162 - Jardim Primavera, Salto de Pirapora - SP, 18160-000;Jardim Primavera;18160-000;;-23.649600961505495;-47.57560072;Atacadista de Sorvetes;Seg. a Domingo das 10h às 21h
SP-03;Salto de Pirapora;Jukaspan 2;R. João Leme dos Santos, 273 - Jardim Primavera, Salto de Pirapora - SP, 18162-080;Jardim Primavera; 18162-080;;-23.65566643232269;-47.57592841;Padaria;Seg. a Domingo das 6h30 às 20h
SP-04;Salto de Pirapora;Elizete Modas e Acessórios;R. Silvio Pissinato, 159 - Jardim Santa Maria, Salto de Pirapora - SP, 18160-000;Jardim Santa Maria;18160-000;;-23.659077664503382;-47.57272659;Loja de Roupas;Segunda à Sexta das 8h às 16h
SP-05;Salto de Pirapora;Quitanda Paulo e Néia;R. Virgílio Cerione, 379 - Jardim Silva Barros, Salto de Pirapora - SP, 18160-000;Jardim Silva Barros;18160-000;;-23.65912594;-47.57143156;Quitanda;Segunda à Sexta das 8h às 16h
SP-06;Salto de Pirapora;Mariana Presentes e Acessórios;R. Benedito Schuermann de Barros, 370, Salto de Pirapora - SP, 18160-000;Jardim América; 18160-000;;-23.63728433;-47.57919019;Loja de Roupas e presentes;Segunda à Sexta das 8h às 16h
SP-07;Salto de Pirapora;Rosângela Manicure;Rua Salvador Leme dos Santos, 269 - Jardim Maria Clara, Salto de Pirapora - SP, 18160-000;Jardim Maria Clara;18160-000;;-23.64471577;-47.56656189;Manicure;Segunda à Sexta das 8h às 16h
SP-08;Salto de Pirapora;Mercado Esperança;R. Paulo dos Santos Guilherme, 256 - Jardim Maria Jose, Salto de Pirapora - SP, 18160-000;Jardim Maria José;18160-000;;-23.64447162;-47.56929051;Mercado;Seg. a Sábado das 8h às 20h/Domingo das 9h às 14h
SP-09;Salto de Pirapora;Aqui Tem Mais Almodovar;R. Eugênio dos Santos Seabra, 121 - Jardim Paulistano, Salto de Pirapora - SP, 18160-000;Jardim Paulistano;18160-000;;-23.638902292869687; -47.57640117247099;Loja de artigos domésticos;Seg. a Sexta das 8h às 18h/Sábados das 8h às 16/Domingo: Fechado
SP-10;Salto de Pirapora;Agro Pet Mundo Animal;R. Gonçalo Corrêa, 341 - Jardim Paulistano, Salto de Pirapora - SP, 18160-000;Jardim Paulistano;18160-000;;-23.63792906;-47.57574643;Agropecuária;Segunda à Sexta das 8h às 16h
SP-11;Salto de Pirapora;Tikos Pastel;Rua Waldomiro de Almeida Barros - Jardim Silva Barros, Salto de Pirapora - SP, 18160-000;Jardim Silva Barros;18160-000;;-23.65457815;-47.57297722;Pastelaria;Segunda a Domingo das 17h às 23h
SP-12;Salto de Pirapora;Sorvetes Fascinatto Salto de Pirapora;Rua Francisco de Barros Leite, 730 - Centro, Salto de Pirapora - SP, 18160-000;Campo Largo;18160-000;;-23.64324781;-47.57525316;Sorveteria;Segunda a Sexta das 10h às 21h/Sábado e Domingo das 10h às 22
SP-13;Salto de Pirapora;Casa de Armarinhos Colcha de Retalhos;Av. Pedro Pires de Mello, 40 - 1 - Centro, Salto de Pirapora - SP, 18160-000;Centro de Salto de Pirapora;18160-000;;-23.65819869;-47.57663188;Loja de aviamentos;Segunda a Sexta das 9h às 18h/Sábado das 9h às 14h/Domingo: Fechado
SP-14;Salto de Pirapora;Agro Campos;Praça João Guimarães, 007 - Jardim Silva Barros, Salto de Pirapora - SP, 18160-000;Jardim Silva Barros;18160-000;;-23.65798869;-47.57598736;Agropecuária;Seg. a Sábado das 8h às 18h/Domingo: Fechado
SP-15;Salto de Pirapora;Salão Rei do Corte;Rua Ovídio Leme dos Santos, 45 - Centro, Salto de Pirapora - SP, 18160-000;Centro de Salto de Pirapora;18160-000;;-23.65028754;-47.57241186;Barbearia;Segunda à Sexta das 8h às 16h
SP-16;Salto de Pirapora;Mercearia da Cleide;Rua Benedita Bueno de Oliveira, 35 - Piraporinha, Salto de Pirapora - SP, 18161-510;Piraporinha;18160-000;;-23.63839065;-47.51842386;Mercearia;Segunda à Sexta das 8h às 16h
SP-17;Salto de Pirapora;Agropecuária Arcanjo;Av. Vicente Leme dos Santos, 593 - Jardim Primavera, Salto de Pirapora - SP, 18160-000;Jardim Primavera;18160-000;;-23.6504659;-47.58001716;Agropecuária;Seg. a Sábado das 8h às 18h/Domingo: Fechado
SR-01;São Roque;PetHouse Casa de Ração;R. Tomás Antônio Gonzaga, 62 - Paisagem Colonial, São Roque - SP, 18136-700;Paisagem Colonial;18136-700;;-23.50621776;-47.159648;PetShop;Seg. à Sexta das 8h às 19h/Sábado das 8h às 18h
L-034;Leste;Café com Gato;Av. Pereira da Silva, 866 - Jardim Santa Rosália, Sorocaba - SP, 18095-340;Jardim Santa Rosália; 18095-340;;-23.48943593;-47.44671921;Cafeteria;Seg. à Sexta das 14h às 20h/Sábado das 9h às 20h/Domingo das 9h às 20h
L-035;Zona Leste;JV Recicláveis;R. Peru, 135 - Vila Barcelona, Sorocaba - SP, 18078-100;Vila Barcelona;18078-100;;-23.51403668;-47.43898969;Centro de Reciclagem;Segunda, Quarta e Sexta das 06h às 12h - 13h às 16h
V-014;Votorantim;Real Auto Peças;R. Júlia Martins Domingues, 794 - Vila Domingues, Votorantim - SP, 18116-545;Vila Domingues; 18116-545;;-23.55094838;-47.46234543;Loja de Autopeças;Segunda à Sexta das 8h às 18h/Sábado das 8h às 12h/Domingo: Fechado
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
